split,error_group,pair_id,label,neural_score,neural_pred,outcome,left_title,right_title,left_brand,right_brand,left_price,right_price
valid,false_positive_high_score,96929485#53472089,0,1.0,1,FP,BỘ LƯU ĐIỆN UPS APC SURT20KRMXLI 20KVA,Mikrotik Cloud Core Router 1036-12G-4S-EM,APC,Mikrotik,205000000,80800
valid,false_positive_high_score,96929485#90174187,0,1.0,1,FP,BỘ LƯU ĐIỆN UPS APC SURT20KRMXLI 20KVA,APC Smart-UPS SRT 10000VA 230V,APC,,205000000,10630.6
valid,false_positive_high_score,29521578#96929485,0,1.0,1,FP,"APC SMART-UPS EXTERNAL BATTERY (RT SERIES), 192V (FOR SURT15KRMXLI & SURT20KRMXLI)",BỘ LƯU ĐIỆN UPS APC SURT20KRMXLI 20KVA,,APC,4206.7,205000000
valid,false_positive_high_score,78253269#96929485,0,1.0,1,FP,Ladies Daniel Wellington Sheffield Rose 36mm Watch DW00100036,BỘ LƯU ĐIỆN UPS APC SURT20KRMXLI 20KVA,,APC,149.00,205000000
test,false_positive_high_score,6175893#51848095,0,0.996576513311884,1,FP,Đồng hồ Tissot T006.207.11.038.00,Tissot T109.410.11.033.00,,,18140000,20390
test,false_positive_high_score,6175893#26986067,0,0.9944621164339682,1,FP,Đồng hồ Tissot T006.207.11.038.00,Tissot Mens T-Sport V8 Swissmatic White Dial Bracelet Watch T106.407.11.031.01,,Tissot,18140000,351.00
test,false_positive_high_score,56698149#45220776,0,0.9924204348548196,1,FP,Epson Ultra Glossy Photo Paper,"EPSON S041944 ultra glossy photo paper 300g/m², 13x18cm/50vel",Epson,,2150,
test,false_positive_high_score,66481726#35452020,0,0.992156025399696,1,FP,iPhone SE Screen - Fix Kit / Black / New / Fix Kit / White / New / Part Only / Black / New / Part Only / White / New,iPhone 7 Plus Lightning Connector Assembly - Gray / New / Fix Kit / White / New / Fix Kit / Black / New / Fix Kit / Gray / New / Part Only / White / New / Part Only / Black / New / Part Only,,,44.99,44.99
test,false_positive_high_score,6175893#55154351,0,0.9900528632829604,1,FP,Đồng hồ Tissot T006.207.11.038.00,TISSOT EVERYTIME MEDIUM T109.410.11.033.00 (T109.410.11.033.00),,,18140000,260.00
test,false_positive_high_score,6175893#64388647,0,0.9892335209744726,1,FP,Đồng hồ Tissot T006.207.11.038.00,TISSOT T095.417.11.067.00 QUICKSTER,,,18140000,10530.00
test,false_positive_high_score,56159566#29009865,0,0.9889600346120624,1,FP,Tissot Mens T-Race Cycling Dark Blue Watch T111.417.37.441.06,Tissot T111.417.37.441.05 T-Race Cycling Chronograph Black PVD 44mm,Tissot,,385.95,11820000
test,false_positive_high_score,24931990#29009865,0,0.9880911398768218,1,FP,Tissot T-Race Chronograph Cycling Chronograph,Tissot T111.417.37.441.05 T-Race Cycling Chronograph Black PVD 44mm,,,6.75E2,11820000
test,false_positive_high_score,4395083#68021989,0,0.9874603493453024,1,FP,DJI Mavic 2 Enterprise Dual,DJI Mavic 2 Enterprise (Zoom) w/ Smart Controller and DJI Enterprise Shield Basic,,,999999,2.995E3
test,false_positive_high_score,29009865#7185118,0,0.9867871546181628,1,FP,Tissot T111.417.37.441.05 T-Race Cycling Chronograph Black PVD 44mm,Tissot T-Race Cycling T111.417.27.441.00,,,11820000,433.78
test,false_positive_high_score,45858702#66481726,0,0.9865264145967124,1,FP,iPhone 4S Screen - New / Fix Kit / Black / новое / New / Fix Kit / White / новое / New / Part Only / Black / новое / New / Part Only / White / новое,iPhone SE Screen - Fix Kit / Black / New / Fix Kit / White / New / Part Only / Black / New / Part Only / White / New,,,39.99,44.99
test,false_positive_high_score,77900148#32297124,0,0.985988145392228,1,FP,Dutch Doobadoo - Dutch Card Art - Apple,Dutch Doobadoo - Dutch Card Art - Sneeuwbol,,,4.75,4.75
test,false_positive_high_score,6189668#76350435,0,0.9859838417494527,1,FP,iPhone XR Screen - Fix Kit / New / Part Only / New,iPhone 6s Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,,,109.99,59.99
test,false_positive_high_score,30058882#4395083,0,0.9853527143881532,1,FP,DJI Mavic 2 Enterprise Dual with Shield Protection or Smart Controller,DJI Mavic 2 Enterprise Dual,DJI,,3350.00,999999
